Code,Description
"1","1-Coupon Itinerary"
"2","2-Coupon Itinerary"
"3","3-Coupon Itinerary"
"4","4-Coupon Itinerary"
"5","5-Coupon Itinerary"
"6","6-Coupon Itinerary"
"7","7-Coupon Itinerary"
"8","8-Coupon Itinerary"
"9","9-Coupon Itinerary"
"10","10-Coupon Itinerary"
"11","11-Coupon Itinerary"
"12","12-Coupon Itinerary"
"13","13-Coupon Itinerary"
"14","14-Coupon Itinerary"
"15","15-Coupon Itinerary"
"16","16-Coupon Itinerary"
"17","17-Coupon Itinerary"
"18","18-Coupon Itinerary"
"19","19-Coupon Itinerary"
"20","20-Coupon Itinerary"
"21","21-Coupon Itinerary"
"22","22-Coupon Itinerary"
"23","23-Coupon Itinerary"
