rank,market_a,market_b,passengers_total,avg_fare,distance,fare_per_mile,market
1,MCO,PHL,569580.0,139.76826656483723,868.5858193756803,0.16091474606999626,MCO-PHL
2,HNL,OGG,527206.0,68.87701964696912,100.54389176147464,0.6850442969759869,HNL-OGG
3,MCO,SJU,522758.0,148.37317630720142,1194.141340735101,0.12425093349156176,MCO-SJU
4,DEN,PHX,518804.0,139.55017852599443,605.8826878744188,0.23032541004855211,DEN-PHX
5,BOS,MCO,498722.0,184.62532809862006,1128.3077526156858,0.16363029295031842,BOS-MCO
6,PHX,SEA,468715.0,169.64698678301312,1111.905682557631,0.1525731808410109,PHX-SEA
7,LAS,SEA,458915.0,149.04273959229923,871.7151803710927,0.17097641861513885,LAS-SEA
8,ATL,FLL,458664.0,119.00719585578985,582.6242129314705,0.20426064213329856,ATL-FLL
9,DEN,LAS,442816.0,126.22488663462927,632.6967250505853,0.1995029871926986,DEN-LAS
10,BOS,DCA,426342.0,151.9012176843942,398.97521707924625,0.3807284542543977,BOS-DCA
11,BOS,SFO,415402.0,354.9380047279503,2710.1577604344707,0.13096580941142313,BOS-SFO
12,DTW,MCO,404323.0,168.47631475330365,969.0635209968268,0.17385476916931158,DTW-MCO
13,ATL,MCO,386391.0,141.19854890512462,406.4872085529943,0.3473628343872385,ATL-MCO
14,BWI,MCO,380371.0,136.47932468563587,794.598187033186,0.1717589177936746,BWI-MCO
15,LAS,SFO,378618.0,134.78218568583637,417.3893132392015,0.32291719363833854,LAS-SFO
16,SAN,SMF,371322.0,110.2183418434674,481.5786325614965,0.22886883759194357,SAN-SMF
17,DFW,LAS,367641.0,180.4509252776486,1067.593750425007,0.1690258351604357,DFW-LAS
18,SAN,SJC,365122.0,112.28831376909636,418.07932964872015,0.2685813571875069,SAN-SJC
19,ATL,MIA,362554.0,147.7559368259625,595.9879328320746,0.24791766525177977,ATL-MIA
20,HNL,KOA,362278.0,71.85956790089378,164.15005879462734,0.43776754287245956,HNL-KOA
21,MSP,PHX,360344.0,189.64178740314813,1283.5775841973225,0.1477447017912357,MSP-PHX
22,SEA,SFO,357079.0,171.5032871157363,682.0266691684474,0.25146126224776455,SEA-SFO
23,LAS,SAN,352269.0,86.83591539420159,259.16595272362883,0.3350591174559193,LAS-SAN
24,ATL,DFW,352064.0,183.59883467210506,735.7040765315397,0.2495552770859686,ATL-DFW
25,HNL,ITO,350879.0,73.78526492038566,215.19574554191047,0.3428751099822073,HNL-ITO
26,SAN,SEA,346178.0,178.75297482797868,1056.0985793435748,0.16925784990553042,SAN-SEA
27,HNL,LIH,344290.0,70.59158683086932,102.45865113712277,0.6889763436022105,HNL-LIH
28,SAN,SFO,343480.0,138.61796742168391,447.79221788750436,0.30955867896861916,SAN-SFO
29,DEN,MSP,341208.0,137.27051127171697,682.2238986190242,0.20121035271497173,DEN-MSP
30,DCA,MCO,335916.0,149.98094660569905,768.3586551399754,0.19519653432989093,DCA-MCO
31,DEN,MCO,332268.0,201.514905257202,1570.8804970686313,0.12828149921858625,DEN-MCO
32,ATL,PHL,331588.0,154.26177738639518,670.1570533312424,0.2301875010038092,ATL-PHL
33,DEN,SEA,331391.0,170.63864655346705,1032.6968927943124,0.16523594458752192,DEN-SEA
34,ATL,LAS,327376.0,266.0642138702898,1768.2936837153609,0.15046381510070342,ATL-LAS
35,LAS,OAK,326713.0,105.19373496004137,410.40889098382985,0.2563144641137563,LAS-OAK
36,ATL,BOS,325387.0,207.9679821258993,953.5099220313043,0.2181078322529208,ATL-BOS
37,LAS,PHX,324383.0,115.44178748578071,256.13250077840087,0.45071120273665666,LAS-PHX
38,ATL,BWI,322706.0,134.0247100766642,580.6213953257763,0.23082978194674572,ATL-BWI
39,ATL,DEN,322205.0,194.42005220279015,1215.216666408032,0.1599879738133133,ATL-DEN
40,DFW,MCO,318262.0,183.47030550301324,998.2295938566339,0.18379569853682712,DFW-MCO
41,LAS,SMF,309994.0,106.64378726685032,402.1385478428615,0.26519165555977026,LAS-SMF
42,MCO,MSP,309438.0,185.5844008492816,1319.9156438446473,0.14060322848262619,MCO-MSP
43,DEN,DFW,308700.0,158.78593595724004,644.5728215095562,0.2463428966573111,DEN-DFW
44,LAS,MSP,298368.0,169.60912708467396,1307.6315657175032,0.12970712204519833,LAS-MSP
45,DEN,SAN,296334.0,156.38695296523517,857.8055572428409,0.1823104917481465,DEN-SAN
46,ATL,DCA,291355.0,189.49764277256267,549.4371677163598,0.3448941096580283,ATL-DCA
47,BOS,FLL,289467.0,180.39336936507442,1245.3140565245778,0.14485773160588597,BOS-FLL
48,BOS,MIA,288615.0,198.17878790083677,1263.186064480363,0.15688804165391232,BOS-MIA
49,ATL,DTW,288486.0,159.48178715778232,608.0336238153672,0.2622910656766736,ATL-DTW
50,BOS,DEN,282194.0,248.3388179408492,1768.9655414360334,0.14038646436224503,BOS-DEN
